 Preconditioned BiConjugate Gradient for N, ITOL =  1600    1
 ITER   Error Estimate            Alpha             Beta
  290         Infinity   -0.3101524E+00    0.5319243E+01
  291         Infinity    0.5793966E-01    0.9936541E+01
  292         Infinity    0.8320769E-01   -0.5166261E-01
  293         Infinity    0.1543181E+01   -0.5556780E+00
  294         Infinity    0.1426102E+01   -0.2258721E+01
  295         Infinity    0.1241470E+00   -0.8623091E+01
  296         Infinity    0.1835337E+00   -0.1060937E+00
  297         Infinity    0.2287788E+00   -0.2409855E-01
  298         Infinity    0.4251460E+00   -0.1021060E+01
  299         Infinity    0.1766888E+01    0.6779668E+00
  300         Infinity    0.2637361E+00   -0.5339619E+01
  301         Infinity    0.6572273E-01    0.3805805E-01
  302         Infinity   -0.3495638E+00   -0.3248377E+00
  303         Infinity   -0.5961660E-01   -0.6361436E+01
  304         Infinity   -0.1938447E+00    0.4979993E+00
  305         Infinity    0.2798285E+00   -0.8017629E+00
  306         Infinity    0.3172752E+00   -0.5099132E+00
  307         Infinity    0.1729909E+00   -0.7798852E+00
  308         Infinity    0.6642391E+00   -0.2701870E+00
 Preconditioned BiConjugate Gradient for N, ITOL =  1600    1
 ITER   Error Estimate            Alpha             Beta
    0    0.9321640E-03    0.1610807-309    0.6618505-310
    1    0.1058303E-03    0.1162694E+01    0.6618505-310
    2    0.4186263E-05    0.1081563E+01    0.4680140E-02
    3    0.2180243E-06    0.9887050E+00    0.1310872E-02
    4    0.2409801E-07    0.9819586E+00    0.6790608E-02
    5    0.1352742E-08    0.1065313E+01    0.8443036E-02
 Preconditioned BiConjugate Gradient for N, ITOL =  4800    1
 ITER   Error Estimate            Alpha             Beta
    0    0.9999994E+00    0.1489917-308    0.6975637-309
    1    0.9413557E+01    0.9737821E-01    0.6975637-309
    2    0.5495665E+01    0.7099783E-01   -0.4013152E+01
    3    0.5423386E+01   -0.7565049E+00    0.9368831E+00
    4    0.2147680E+02   -0.1652275E+01   -0.4387254E-01
    5    0.3504313E+01   -0.5154374E-01   -0.4043007E+02
    6    0.4483547E+01   -0.3043048E+00    0.4043210E-02
    7    0.4385498E+01   -0.7918057E+00   -0.1745999E+01
    8    0.3175617E+01    0.1210182E+01   -0.2361836E+01
    9    0.1137862E+01    0.1818152E+00   -0.2731281E+01
   10    0.9351068E+00    0.3696127E+00   -0.1516035E+00
   11    0.1034069E+01   -0.7773080E-01    0.7571641E-01
   12    0.1601118E+01   -0.3357127E+01   -0.1280717E+01
   13    0.4008935E+01    0.1036473E+01   -0.4609217E+01
   14    0.3866015E+01   -0.4456003E-01    0.3424716E+01
   15    0.1030559E+01    0.4891954E+00   -0.7351371E+00
   16    0.9330921E+00    0.1836358E+00    0.3328820E+00
   17    0.8550857E+02   -0.8165408E+01   -0.4052084E+01
   18    0.1671048E+01    0.4605217E-02    0.1756051E+04
   19    0.7505271E+01   -0.2500123E+01   -0.2933885E-03
   20    0.9573848E+01   -0.5485642E+00   -0.4404453E+01
   21    0.8208935E+01   -0.6761885E-01   -0.1178891E+02
   22    0.4353697E+01    0.4813600E+00    0.4675719E-01
   23    0.3677998E+01    0.1069817E+00   -0.9120186E+00
   24    0.2153922E+01    0.1536176E+01    0.4937474E+00
   25    0.3875538E+01    0.3256022E+00   -0.3623844E+01
   26    0.1872966E+01    0.8128188E-01   -0.2154175E+01
   27    0.3032199E+01   -0.5914731E+00    0.1789931E-01
   28    0.2041320E+02    0.1760251E+02   -0.1567599E+01
   29    0.6242486E+01   -0.1142052E+00    0.2138006E+03
   30    0.1123400E+02   -0.1154599E+00   -0.4335585E+00
   31    0.4327494E+02    0.5396964E+00    0.1408577E+01
   32    0.5077490E+01   -0.8033215E-01    0.7143971E+01
   33    0.8837249E+01    0.6011425E+00   -0.3051211E-01
   34    0.1638335E+02   -0.5337383E+00    0.8551045E+00
   35    0.1818440E+02   -0.9189486E-01   -0.4769066E+00
   36    0.2161973E+02   -0.1964916E+01   -0.1367504E+01
   37    0.3500856E+02    0.3485856E+01   -0.6636426E+01
   38    0.1633267E+02    0.1069464E+00   -0.1605341E+02
   39    0.3297756E+02   -0.9456963E+00   -0.4669131E-01
   40    0.2558786E+02    0.5313618E-01    0.4838992E+01
   41    0.1051352E+02   -0.1323272E+01   -0.4084307E+00
   42    0.2132780E+02    0.4925993E+00    0.1599824E+01
   43    0.1757778E+02    0.1374879E+00   -0.9276534E+00
   44    0.1719989E+02   -0.5714755E-02    0.4508802E-01
   45    0.5326002E+02    0.2335049E+02   -0.8844419E+00
