    I     J        X             Y             P             U             V             T
   26     5   6.12500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93730E+02
   27     5   6.37500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93854E+02
   28     5   6.62500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94018E+02
   29     5   6.87500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94229E+02
   30     5   7.12500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94501E+02
   31     5   7.37500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94848E+02
   32     5   7.62500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95290E+02
   33     5   7.87500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95851E+02
   34     5   8.12500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.96562E+02
   35     5   8.37500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.97462E+02
   36     5   8.62500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.98602E+02
   37     5   8.87500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.00045E+02
   38     5   9.12500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.01872E+02
   39     5   9.37500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.04184E+02
   40     5   9.62500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.07108E+02
   41     5   9.87500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.10809E+02
   42     5   1.00000E-02   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.13150E+02
    1     6   0.00000E+00   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.13150E+02
    2     6   1.25000E-04   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.10809E+02
    3     6   3.75000E-04   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.07108E+02
    4     6   6.25000E-04   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.04183E+02
    5     6   8.75000E-04   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.01872E+02
    6     6   1.12500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.00046E+02
    7     6   1.37500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.98602E+02
    8     6   1.62500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.97462E+02
    9     6   1.87500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.96562E+02
   10     6   2.12500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.95851E+02
   11     6   2.37500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.95291E+02
   12     6   2.62500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.94849E+02
   13     6   2.87500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.94502E+02
   14     6   3.12500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.94230E+02
   15     6   3.37500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.94018E+02
   16     6   3.62500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93855E+02
   17     6   3.87500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93730E+02
   18     6   4.12500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93638E+02
   19     6   4.37500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93573E+02
   20     6   4.62500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93532E+02
   21     6   4.87500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93512E+02
   22     6   5.12500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93512E+02
   23     6   5.37500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93532E+02
   24     6   5.62500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93573E+02
   25     6   5.87500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93638E+02
   26     6   6.12500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93730E+02
   27     6   6.37500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93855E+02
   28     6   6.62500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.94018E+02
   29     6   6.87500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.94230E+02
   30     6   7.12500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.94502E+02
   31     6   7.37500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.94849E+02
   32     6   7.62500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.95291E+02
   33     6   7.87500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.95852E+02
   34     6   8.12500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.96562E+02
   35     6   8.37500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.97463E+02
   36     6   8.62500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.98603E+02
   37     6   8.87500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.00046E+02
   38     6   9.12500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.01873E+02
   39     6   9.37500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.04184E+02
   40     6   9.62500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.07108E+02
   41     6   9.87500E-03   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.10809E+02
   42     6   1.00000E-02   1.12500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.13150E+02
    1     7   0.00000E+00   1.37500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.13150E+02
    2     7   1.25000E-04   1.37500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.10809E+02
    3     7   3.75000E-04   1.37500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.07108E+02
    4     7   6.25000E-04   1.37500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.04184E+02
    5     7   8.75000E-04   1.37500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.01872E+02
    6     7   1.12500E-03   1.37500E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.00046E+02
